ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads,mx_ut,my_ut,mz_ut,dt_s
0.794870,1.144430,-9.150640,0.316384,-0.046872,0.040480,63.914000,122.715000,-163.109000,0.010000
0.814030,1.144430,-9.323020,0.314253,-0.026632,0.037284,63.914000,122.715000,-163.109000,0.010000
0.876280,1.177950,-9.255980,0.258859,-0.022371,0.029827,63.914000,122.715000,-163.109000,0.010000
0.895430,1.168370,-9.112330,0.230097,-0.061785,0.023436,63.914000,122.715000,-163.109000,0.010000
0.861910,1.187520,-9.121910,0.206661,-0.090547,0.021305,63.914000,122.715000,-163.109000,0.010000
0.742200,1.187520,-9.054870,0.196009,-0.112918,0.019175,63.914000,122.715000,-163.109000,0.010000
0.775720,1.216250,-9.083600,0.176834,-0.115049,0.022371,60.363000,122.715000,-163.109000,0.010000
0.881070,1.125270,-9.069240,0.166181,-0.136354,0.024501,60.363000,122.715000,-163.109000,0.010000
0.928950,1.134850,-9.107540,0.176834,-0.154463,0.037284,60.363000,122.715000,-163.109000,0.010000
0.943320,1.125270,-9.394850,0.197074,-0.149137,0.028762,60.363000,122.715000,-163.109000,0.010000
0.972050,1.058240,-9.385270,0.251402,-0.064981,0.031958,60.363000,122.715000,-163.109000,0.010000
1.029510,0.962470,-9.414000,0.256729,-0.040480,0.019175,60.363000,122.715000,-163.109000,0.010000
0.909800,1.063030,-9.284710,0.259925,-0.038350,0.003196,60.363000,122.715000,-163.109000,0.010000
0.924160,1.043870,-9.136270,0.265251,-0.050067,-0.019175,60.363000,122.715000,-163.109000,0.010000
0.948100,1.029510,-9.097970,0.266316,-0.028762,-0.049002,60.363000,122.715000,-163.109000,0.010000
0.948100,1.106120,-9.088390,0.225836,-0.063916,-0.076699,60.363000,122.715000,-163.109000,0.010000
0.905010,1.091760,-9.246410,0.205596,-0.089482,-0.108657,60.363000,122.715000,-163.109000,0.010000
0.967260,0.981620,-9.165000,0.206661,-0.075634,-0.159790,60.363000,122.715000,-163.109000,0.010000
1.077390,0.890640,-9.040510,0.210922,-0.107592,-0.246076,59.180000,125.098000,-163.109000,0.010000
1.168370,0.823610,-9.126700,0.204531,-0.186421,-0.367516,59.180000,125.098000,-163.109000,0.010000
1.235410,0.991200,-9.236830,0.152333,-0.239684,-0.454868,59.180000,125.098000,-163.109000,0.010000
1.182740,0.780510,-9.011780,0.106526,-0.295078,-0.578439,59.180000,125.098000,-163.109000,0.010000
1.211470,0.737410,-8.892070,0.062851,-0.336624,-0.699879,59.180000,125.098000,-163.109000,0.010000
1.283290,0.723050,-9.026140,-0.012783,-0.380299,-0.807470,59.180000,125.098000,-163.109000,0.010000
1.465250,0.861910,-9.074020,-0.091613,-0.419714,-0.867125,59.180000,125.098000,-163.109000,0.010000
1.393430,0.928950,-9.136270,-0.089482,-0.439954,-0.876713,59.180000,125.098000,-163.109000,0.010000
1.489190,0.976830,-9.481040,-0.093743,-0.469782,-0.892692,59.180000,125.098000,-163.109000,0.010000
1.647210,1.120490,-9.792280,-0.058590,-0.576308,-0.870321,59.180000,125.098000,-163.109000,0.010000
1.656790,1.029510,-9.706090,0.074569,-0.661529,-0.867125,59.180000,125.098000,-163.109000,0.010000
1.652000,0.943320,-9.557650,0.217314,-0.659399,-0.871386,59.180000,125.098000,-163.109000,0.010000
1.675940,0.952890,-9.380480,0.265251,-0.600809,-0.882039,59.180000,125.098000,-163.109000,0.010000
1.594540,0.948100,-9.083600,0.235423,-0.588026,-0.910801,59.180000,122.715000,-160.828000,0.010000
1.695090,0.751780,-8.930370,0.192813,-0.535828,-0.945955,59.180000,122.715000,-160.828000,0.010000
1.666360,0.809240,-9.078810,0.182160,-0.438889,-0.939563,59.180000,122.715000,-160.828000,0.010000
1.532290,0.876280,-9.260770,0.250337,-0.372843,-0.927845,59.180000,122.715000,-160.828000,0.010000
1.632850,0.842760,-9.279930,0.337689,-0.285491,-0.917193,59.180000,122.715000,-160.828000,0.010000
1.800440,0.737410,-9.294290,0.402670,-0.260990,-0.918258,59.180000,122.715000,-160.828000,0.010000
1.891420,0.732630,-9.299080,0.392017,-0.262055,-0.909736,59.180000,122.715000,-160.828000,0.010000
1.632850,0.818820,-8.935160,0.385626,-0.304666,-0.923584,59.180000,122.715000,-160.828000,0.010000
1.652000,0.751780,-9.006990,0.365386,-0.286556,-0.941694,59.180000,122.715000,-160.828000,0.010000
1.790860,0.632070,-8.690950,0.348341,-0.189617,-0.977913,59.180000,122.715000,-160.828000,0.010000
1.728610,0.670380,-8.547300,0.282295,-0.188552,-1.024784,59.180000,122.715000,-160.828000,0.010000
